response_time,timestamp,duration,task
1108.0709686502814,1697893104.6991184,1.09387,word_count
1202.4193927645683,1697893104.78793,1.18293,summarize
1452.9247609898448,1697893105.03923,1.43276,grep
1572.7567812427878,1697893105.1597335,1.55371,word_count
1612.030502408743,1697893105.202396,1.59596,summarize
1866.7416665703058,1697893105.4558496,1.84880,word_count
1995.7286613062024,1697893105.5855067,1.97839,summarize
2010.6494780629873,1697893105.594594,1.99001,grep
27.005545794963837,1697893105.6300895,0.02356,word_count
2132.8415516763926,1697893105.7212934,2.11359,summarize
2152.8498362749815,1697893105.7406428,2.13319,grep
38.74934744089842,1697893105.8250074,0.03531,word_count
37.79848292469978,1697893105.8332107,0.03466,summarize
32.35482145100832,1697893105.8357124,0.02949,grep
27.537133544683456,1697893105.949815,0.02420,word_count
24.063275195658207,1697893105.9654198,0.02110,summarize
928.8809513673186,1697893109.2518234,0.92449,summarize
4039.300736039877,1697893109.279539,4.03568,word_count
3637.789380736649,1697893109.2945375,3.63376,grep
24.974871426820755,1697893109.3049607,0.02145,word_count
29.458497650921345,1697893109.3154922,0.02609,summarize
23.12988694757223,1697893109.3180685,0.01967,grep
4366.663541644812,1697893109.3559587,4.36288,word_count
22.087734192609787,1697893109.3785317,0.01793,summarize
4524.6269991621375,1697893109.4249582,4.52105,grep
28.090721927583218,1697893109.4536068,0.02363,word_count
24.85082484781742,1697893109.4790623,0.02075,summarize
34.36013776808977,1697893109.5216284,0.03037,grep
32.08333719521761,1697893109.5277112,0.02842,word_count
48.806993290781975,1697893109.5295143,0.04514,summarize
929.1845187544823,1697893109.5325482,0.92554,grep
29.33466248214245,1697893109.5623586,0.02415,word_count
27.95343194156885,1697893109.5853848,0.02145,summarize
35.62127612531185,1697893109.6614938,0.03219,grep
36.84154711663723,1697893109.6897905,0.03157,word_count
35.84229573607445,1697893109.7168713,0.03285,summarize
30.99860902875662,1697893109.7178435,0.02673,grep
29.765181243419647,1697893109.7249732,0.02716,word_count
17.069450579583645,1697893109.7504761,0.01415,summarize
24.327033199369907,1697893109.7812812,0.02136,grep
3830.973092466593,1697893109.8261442,3.82749,word_count
3844.6078337728977,1697893109.8316588,3.84022,summarize
29.15532886981964,1697893109.8557703,0.02383,grep
42.25360322743654,1697893109.8743536,0.03870,word_count
32.339394092559814,1697893109.8849604,0.02874,summarize
18.020485527813435,1697893109.8990386,0.01270,grep
34.17159803211689,1697893109.9207532,0.03041,word_count
34.671351313591,1697893109.9305344,0.02986,summarize
26.914228685200214,1697893109.9601045,0.02152,grep
26.382237672805786,1697893109.983086,0.02150,word_count
23.803092539310455,1697893110.051583,0.01945,summarize
31.82847797870636,1697893110.0851345,0.02530,grep
33.58944784849882,1697893110.1203933,0.02980,word_count
28.347996063530445,1697893110.1244082,0.02320,summarize
47.517552971839905,1697893110.1283607,0.04159,grep
19.524008966982365,1697893110.1535466,0.01537,word_count
24.776886217296124,1697893110.1820135,0.02039,summarize
38.50969113409519,1697893110.266256,0.03411,grep
56.768931448459625,1697893110.3095126,0.05260,word_count
50.12473277747631,1697893110.3310714,0.04555,summarize
55.31763844192028,1697893110.341894,0.05161,grep
47.994242049753666,1697893110.3439538,0.04436,word_count
27.46505942195654,1697893110.3612056,0.02062,summarize
19.7284072637558,1697893110.3773115,0.01611,grep
28.163828887045383,1697893110.4551613,0.02252,word_count
24.52810574322939,1697893110.4769804,0.01866,summarize
43.04703790694475,1697893110.5236766,0.03910,grep
35.369173623621464,1697893110.5307624,0.03051,word_count
45.01604940742254,1697893110.5320482,0.04145,summarize
30.034651048481464,1697893110.563697,0.02608,grep
35.44429689645767,1697893110.5926387,0.03142,word_count
25.16831085085869,1697893110.6524508,0.02070,summarize
31.668419018387794,1697893110.6846173,0.02765,grep
25.414186529815197,1697893110.71162,0.02176,word_count
19.13064531981945,1697893110.7146132,0.01559,summarize
38.20145037025213,1697893110.7185516,0.03443,grep
20.30998934060335,1697893110.754462,0.01582,word_count
21.471379324793816,1697893110.7785647,0.01714,summarize
29.257227666676044,1697893110.8565128,0.02490,grep
31.783806160092354,1697893110.884911,0.02790,word_count
29.26628291606903,1697893110.9097047,0.02541,summarize
32.36433118581772,1697893110.9188778,0.02863,grep
35.34442652016878,1697893110.9311185,0.03099,word_count
31.76060877740383,1697893110.965541,0.02517,summarize
26.325592771172523,1697893110.9830768,0.02223,grep
28.426436707377434,1697893111.0561762,0.02410,word_count
31.698087230324745,1697893111.0844176,0.02671,summarize
46.27576470375061,1697893111.1271708,0.04090,grep
75.41426550596952,1697893111.162471,0.07146,word_count
75.45641530305147,1697893111.170787,0.07148,summarize
47.51791525632143,1697893111.1813326,0.04358,grep
36.38613037765026,1697893111.193724,0.03202,word_count
30.338269658386707,1697893111.2577581,0.02620,summarize
27.353844605386257,1697893111.2806182,0.02336,grep
31.88819158822298,1697893111.3129659,0.02790,word_count
40.68480432033539,1697893111.3270593,0.03684,summarize
34.98930297791958,1697893111.3305974,0.03068,grep
27.64569502323866,1697893111.3608253,0.02262,word_count
22.794311866164207,1697893111.380389,0.01769,summarize
38.84689696133137,1697893111.4659429,0.03462,grep
61.67277414351702,1697893111.5146809,0.05746,word_count
46.73072416335344,1697893111.5273268,0.04262,summarize
60.32977066934109,1697893111.5473967,0.05659,grep
64.94369823485613,1697893111.5602858,0.05964,word_count
59.095777571201324,1697893111.593069,0.05493,summarize
39.44269381463528,1697893111.5964437,0.03444,grep
35.106309689581394,1697893111.6621811,0.03095,word_count
26.141194626688957,1697893111.678997,0.02174,summarize
58.10669530183077,1697893111.7387471,0.05408,grep
83.8082442060113,1697893111.770864,0.07970,word_count
90.85895959287882,1697893111.7862196,0.08685,summarize
45.63985392451286,1697893111.8030488,0.04160,grep
75.79259295016527,1697893111.8094113,0.07139,word_count
35.95986496657133,1697893111.8630269,0.03187,summarize
41.33493360131979,1697893111.8941784,0.03733,grep
54.539209231734276,1697893111.9503138,0.05044,word_count
74.04217962175608,1697893111.9611733,0.07028,summarize
88.96476402878761,1697893111.9696317,0.08421,grep
59.834228828549385,1697893111.9939218,0.05552,word_count
40.6601307913661,1697893111.9976454,0.03614,summarize
52.660309709608555,1697893112.0799668,0.04833,grep
76.65826100856066,1697893112.1297994,0.07258,word_count
59.31848380714655,1697893112.1397643,0.05573,summarize
57.7089237049222,1697893112.1445138,0.05415,grep
55.560712702572346,1697893112.1507401,0.05165,word_count
36.862109787762165,1697893112.170314,0.03224,summarize
35.70710867643356,1697893112.1930256,0.03199,grep
25.57201497256756,1697893112.2531726,0.02158,word_count
30.217090621590614,1697893112.283845,0.02573,summarize
54.874589666724205,1697893112.3357258,0.04880,grep
72.62233644723892,1697893112.3590477,0.06729,word_count
75.90479217469692,1697893112.3714972,0.07222,summarize
62.59897165000439,1697893112.3958745,0.05731,grep
45.12037709355354,1697893112.4017088,0.03998,word_count
